[HEADER]
Format	J&M ASCII Table
Comment	COA_01_P.00039_HAL03-noFilter_UVIR600um2-UV400um0.5_24mm
Date	25/09/2024 11:52:58
Order	Y (evenX)
TechType	UV
NumPoints	841
FirstX	304
LastX	1144
XType	nm
YType	Transmission
ZType	s
NumSubFile	61
Matrix	Z vs X
[LOGIN]
Name=JM
[INSTRUMENT]
Name=TIDAS S
Detector=MMS - ASPEN 97,5 kHz
Diodearray=256 Pixel
Serial#=39059
Calibrated=2016-03-14
Range=303.56-1144.49 [nm] (F0)

SWVersion=v3.22.6 (build 0)
[CONFIG]
ChannelName=Result
ChannelType=Normalized
[PARAMETER]
It=91.00
Aver=20
Norm=1
Range=304.0-1144.0 nm
Scan=Single
[TRIGGER]
Sweep=0
Scan=0
[DIO]
DigOut=0x0000
DigIn=0x0000
[DATA]
	00:00:00.000	00:00:23.207	00:00:46.417	00:01:09.608	00:01:32.798	00:01:55.993	00:02:19.191	00:02:42.381	00:03:05.571	00:03:28.765	00:03:51.951	00:04:15.148	00:04:38.334	00:05:01.528	00:05:24.711	00:05:47.897	00:06:11.086	00:06:34.278	00:06:57.466	00:07:20.658	00:07:43.845	00:08:07.038	00:08:30.230	00:08:53.418	00:09:16.613	00:09:39.800	00:10:02.989	00:10:26.180	00:10:49.375	00:11:12.569	00:11:35.762	00:11:58.958	00:12:22.149	00:12:45.341	00:13:08.536	00:13:31.727	00:13:54.919	00:14:18.110	00:14:41.308	00:15:04.501	00:15:27.692	00:15:50.883	00:16:14.079	00:16:37.274	00:17:00.470	00:17:23.667	00:17:46.860	00:18:10.053	00:18:33.244	00:18:56.439	00:19:19.629	00:19:42.820	00:20:06.009	00:20:29.211	00:20:52.392	00:21:15.577	00:21:38.765	00:22:01.956	00:22:25.139	00:22:48.327	00:23:11.521
304	99.9786	101.643501	100.918106	102.614426	101.294685	101.779427	100.334976	101.59565	100.075569	101.115784	99.831253	100.598213	101.414276	100.639786	101.645996	100.949524	100.370232	100.83622	101.818535	100.736786	101.358856	101.01004	100.785873	100.931946	99.91687	101.241722	100.515076	102.740372	102.662315	100.444588	102.411713	99.113411	102.314697	101.074219	100.765678	102.732811	101.545288	100.799751	101.317299	101.783287	101.998642	101.812218	101.455833	101.345016	101.205208	101.261887	102.299622	101.149788	100.584366	99.48996	102.368904	101.134727	101.329895	101.358856	102.473434	101.510033	100.355133	101.999878	101.721558	100.668716	101.275726
305	100.169388	102.06221	101.588951	102.145706	101.871262	100.830971	100.145218	101.664337	100.489296	100.801315	100.403214	101.013603	101.546005	101.150688	101.110527	100.252876	100.021568	100.838875	101.919746	101.470634	101.363182	101.172272	101.392685	101.634644	99.725784	100.736794	100.73938	102.081192	102.543579	100.986694	102.196754	99.714905	101.876831	100.664185	101.086212	102.296272	102.218094	101.438393	101.226089	102.043404	102.51387	101.658966	101.683128	101.31749	101.336266	101.043274	102.306961	101.153481	100.967911	99.997215	102.535477	101.583611	101.747604	101.363182	102.64032	102.341774	100.451698	102.038086	101.599838	100.766266	101.089005
306	100.36132	102.483574	102.264008	101.673958	102.45153	99.876434	99.954224	101.733444	100.905632	100.484787	100.97879	101.43161	101.678551	101.664841	100.571655	99.551712	99.670654	100.84156	102.021576	102.209152	101.367531	101.335526	102.003304	102.341774	99.533447	100.228645	100.965057	101.417801	102.424049	101.532219	101.980415	100.32016	101.436104	100.251495	101.408722	101.856873	102.895203	102.081062	101.134262	102.305138	103.032372	101.504707	101.911804	101.289772	101.468147	100.823257	102.314293	101.157127	101.353821	100.507675	102.703094	102.035309	102.167961	101.367531	102.808258	103.178802	100.548843	102.076469	101.477287	100.86441	100.901009
307	100.424065	102.64856	102.746941	101.081253	102.861237	99.042633	99.713203	101.737823	101.179626	100.268921	101.341202	101.76915	101.755737	101.98243	100.029358	98.955124	99.340889	100.825157	102.07634	102.729057	101.338646	101.439575	102.502319	102.838882	99.367699	99.771347	101.136848	100.753609	102.215553	101.988831	101.697586	100.771484	100.991203	99.966171	101.587738	101.354614	103.473106	102.464607	101.058281	102.47995	103.365791	101.316277	102.125511	101.251183	101.536026	100.645706	102.224495	101.132378	101.610092	100.894753	102.805077	102.325378	102.403954	101.32074	102.758385	103.769455	100.542854	102.053955	101.311806	100.93502	100.621429
308	99.691345	101.233986	102.029716	99.772812	102.206711	98.985863	99.175842	101.344955	100.568542	100.67952	100.379967	101.598145	101.489624	101.080177	99.489769	99.025879	99.155113	100.69249	101.839737	101.885048	101.107201	101.175705	102.294495	102.025856	99.372116	99.646027	100.970253	100.113785	101.470337	101.879776	101.01944	100.258461	100.540092	100.474083	100.878609	100.488449	103.417145	101.241707	101.082649	102.11364	102.549088	100.926384	102.237617	101.147247	101.207985	100.736404	101.542679	100.934113	101.059464	100.507774	102.499939	101.611137	101.498756	100.962532	101.374779	102.822998	99.90451	101.658882	100.890198	100.833321	99.792137
309	98.968758	99.83902	101.322449	98.482521	101.561188	98.92984	98.645874	100.957512	99.965904	101.084396	99.43203	101.429474	101.227203	100.190414	98.957619	99.095612	98.971901	100.561615	101.606384	101.052711	100.878952	100.915459	102.089516	101.224068	99.376472	99.522415	100.805977	99.482773	100.735413	101.772179	100.350662	99.752502	100.0952	100.974915	100.179314	99.634308	103.361908	100.035736	101.106628	101.75235	101.74366	100.541832	102.348099	101.044754	100.884506	100.825798	100.870262	100.738564	100.516426	100.126122	102.198982	100.906731	100.606117	100.60923	100.010368	101.889648	99.274956	101.269257	100.47438	100.732971	98.974304
310	98.256119	98.463264	100.624908	97.209984	100.924622	98.874626	98.123238	100.575424	99.371597	101.483727	98.497185	101.263199	100.96843	99.31292	98.432838	99.164452	98.791229	100.432602	101.376297	100.231895	100.653885	100.658821	101.887383	100.43335	99.38076	99.400543	100.64399	98.860519	100.010612	101.666115	99.691124	99.253525	99.656471	101.468864	99.489639	98.791954	103.307487	98.846405	101.130318	101.396111	100.949371	100.162613	102.457108	100.943672	100.565506	100.913979	100.207153	100.545731	99.980911	99.749771	101.902214	100.212097	99.725761	100.260841	98.664742	100.969147	98.654129	100.885033	100.064346	100.634071	98.167801
311	98.752991	98.383629	100.671364	97.386162	100.560059	99.656143	98.309181	100.225464	99.962418	101.673088	98.722496	101.023689	101.213692	99.623558	99.01104	100.174355	99.159897	100.437424	101.362587	99.656898	100.721718	100.144646	102.086403	100.25592	99.566833	99.671768	100.564323	98.871384	99.975906	101.64473	99.79866	99.098938	99.719986	101.148476	99.25209	99.030861	102.922234	98.873512	101.235687	101.17897	100.717453	100.443802	101.994957	101.213692	100.277916	100.767792	99.971642	100.540199	99.975906	99.770302	101.692947	100.312637	99.746208	99.995735	99.244972	100.717453	98.849419	100.586281	100.367226	100.984001	98.860016
312	99.471428	98.544403	100.855377	97.829811	100.247635	100.588882	98.625473	99.883102	100.76989	101.822624	99.161575	100.771797	101.55114	100.152718	99.790695	101.353745	99.628555	100.46698	101.388977	99.130188	100.843452	99.585228	102.358734	100.192963	99.78569	100.014473	100.500313	98.999443	100.06913	101.639114	100.047768	99.008881	99.876198	100.678787	99.099388	99.468903	102.477539	99.125778	101.355682	100.988617	100.59079	100.845955	101.429214	101.55114	99.997498	100.578842	99.816483	100.569405	100.06913	99.864258	101.500832	100.559998	99.93338	99.74736	100.179115	100.59079	99.194901	100.304817	100.80069	101.415359	99.826523
313	100.184975	98.704056	101.038086	98.270439	99.937317	101.515236	98.939598	99.543083	101.571846	101.971123	99.597672	100.521561	101.886215	100.678253	100.565025	102.52507	100.093971	100.496307	101.415161	98.607025	100.96434	99.029556	102.629181	100.130356	100.002991	100.35479	100.436661	99.12661	100.161705	101.633499	100.295151	98.91938	100.031319	100.212273	98.947701	99.903938	102.035797	99.376297	101.474823	100.799545	100.464951	101.245346	100.867256	101.886215	99.718964	100.391174	99.662354	100.598373	100.161705	99.957535	101.310028	100.805626	100.119232	99.500618	101.106857	100.464951	99.538002	100.025238	101.231209	101.843788	100.7864
