# Date: Wed Jan 17 09:56:13 2024
# Object: 2024-01-17 2023-8005 BWS0005 G01 P.00021
# Illuminant: D65
# Sample integration time [ms]: 50
# White standard integration time [ms]: 50
# Sample: 04
# Curr: 700 (Watts: 0.0194186, MLuxes: 5.65894)
# LED: 1
#Time	Watts	Lux	L	a	b	dE76	dE2000	dL	da	db	dC	dh
0	0	0	46.6752	0.206259	-51.9361	0	0	0	0	0	0	0
6.25	0.121366	0.00982455	46.5928	-0.343326	-51.2539	0.879912	0.226702	-0.082377	-0.549585	0.682214	-0.681474	-0.611336
16.249	0.315533	0.0255423	46.9033	-0.185185	-51.2188	0.848426	0.260153	0.228168	-0.391444	0.717312	-0.717387	-0.434699
26.248	0.5097	0.04126	46.8236	-0.501177	-50.7946	1.35113	0.289019	0.1484	-0.707436	1.14152	-1.13946	-0.792848
36.297	0.704837	0.0570563	46.8379	-0.999507	-50.2761	2.05816	0.47997	0.162726	-1.20577	1.66002	-1.6505	-1.36645
46.297	0.899023	0.0727755	46.9218	-1.0033	-50.1311	2.18677	0.50356	0.246595	-1.20955	1.80503	-1.7954	-1.37408
56.296	1.09319	0.0884932	47.0244	-1.03772	-49.9218	2.3931	0.561454	0.349208	-1.24398	2.01432	-2.00395	-1.41837
66.295	1.28736	0.104211	47.1224	-0.995618	-49.8534	2.44585	0.610354	0.447198	-1.20188	2.08271	-2.07318	-1.37164
76.294	1.48152	0.119929	47.0472	-1.41775	-49.4449	2.99698	0.698026	0.372069	-1.624	2.4912	-2.47129	-1.86995
86.293	1.67569	0.135646	47.2247	-1.22736	-49.4626	2.91122	0.742217	0.549487	-1.43362	2.47346	-2.45865	-1.64899
96.292	1.86986	0.151364	47.1683	-1.57265	-49.1241	3.36378	0.809994	0.493146	-1.77891	2.81199	-2.78723	-2.06118
106.291	2.06402	0.167082	47.3177	-1.44096	-49.0745	3.36378	0.863591	0.642531	-1.64722	2.86162	-2.84088	-1.90942
116.29	2.25819	0.182799	47.2484	-1.83965	-48.7305	3.84585	0.9411	0.573265	-2.04591	3.20564	-3.17134	-2.38952
126.339	2.45333	0.198596	47.2972	-1.78492	-48.6978	3.85209	0.949786	0.622015	-1.99117	3.23835	-3.20606	-2.32666
136.289	2.64654	0.214236	47.317	-1.90928	-48.4983	4.08725	0.999805	0.641851	-2.11554	3.43775	-3.4006	-2.48199
146.287	2.84069	0.229953	47.4829	-1.64568	-48.6393	3.86667	1.03638	0.807762	-1.85194	3.29681	-3.26938	-2.16537
156.337	3.03585	0.24575	47.3354	-2.10975	-48.0696	4.55518	1.07116	0.66018	-2.316	3.86651	-3.82065	-2.74061
166.336	3.23001	0.261468	47.4498	-2.16868	-48.0348	4.63254	1.16101	0.774591	-2.37494	3.9013	-3.85277	-2.81258
176.334	3.42416	0.277184	47.4681	-2.24514	-47.93	4.76308	1.19641	0.792949	-2.4514	4.00609	-3.95395	-2.90943
186.334	3.61835	0.292904	47.4723	-2.36813	-47.7302	4.99528	1.23718	0.797136	-2.57439	4.20594	-4.14764	-3.06795
196.333	3.81251	0.308621	47.6077	-2.08017	-47.9191	4.71524	1.24081	0.932487	-2.28643	4.01698	-3.97226	-2.7132
206.333	4.0067	0.324341	47.5239	-2.43661	-47.5602	5.18207	1.28968	0.848694	-2.64287	4.37593	-4.31397	-3.16037
216.331	4.20085	0.340057	47.64	-2.36738	-47.5744	5.15551	1.34444	0.964819	-2.57364	4.36174	-4.30329	-3.07633
226.38	4.39598	0.355853	47.6611	-2.46465	-47.3662	5.38419	1.38683	0.985905	-2.6709	4.56988	-4.50621	-3.20617
236.379	4.59015	0.371571	47.7079	-2.35031	-47.4123	5.29792	1.38687	1.03276	-2.55657	4.52385	-4.46604	-3.06548
246.329	4.78337	0.387211	47.6987	-2.50459	-47.2417	5.51667	1.42413	1.02352	-2.71085	4.69439	-4.62845	-3.26233
256.378	4.9785	0.403008	47.695	-2.58007	-47.1005	5.67335	1.44373	1.01979	-2.78633	4.83562	-4.76542	-3.36296
266.376	5.17265	0.418724	47.7956	-2.60058	-47.025	5.76653	1.51976	1.12043	-2.80684	4.91113	-4.83969	-3.39289
276.376	5.36684	0.434443	47.8152	-2.59355	-46.9471	5.83344	1.53209	1.13998	-2.79981	4.98904	-4.91786	-3.38959
286.375	5.561	0.450161	47.7634	-2.82899	-46.7229	6.12979	1.56517	1.08823	-3.03525	5.2132	-5.12804	-3.69247
296.374	5.75517	0.465879	47.8973	-2.62547	-46.8186	5.97505	1.60144	1.22214	-2.83173	5.11752	-5.04437	-3.43718
306.373	5.94934	0.481596	47.8843	-2.80183	-46.6628	6.19019	1.64073	1.20913	-3.00809	5.27331	-5.18968	-3.66369
316.373	6.14352	0.497316	47.9087	-2.78815	-46.5795	6.25945	1.65487	1.23349	-2.99441	5.35656	-5.2736	-3.65306
326.371	6.33767	0.513032	47.8991	-2.81579	-46.528	6.31492	1.656	1.22395	-3.02205	5.40808	-5.32337	-3.69076
336.37	6.53184	0.528749	47.9047	-3.01597	-46.3395	6.57392	1.71835	1.22953	-3.22223	5.5966	-5.49897	-3.95134
346.37	6.72602	0.544469	47.9501	-2.89516	-46.3464	6.51836	1.71596	1.27495	-3.10142	5.58969	-5.49976	-3.80205
356.369	6.92019	0.560186	47.9047	-3.03461	-46.1174	6.77296	1.72529	1.22956	-3.24087	5.81875	-5.71943	-3.99229
366.368	7.11436	0.575904	47.9911	-3.00057	-46.0917	6.79505	1.77699	1.31589	-3.20683	5.84443	-5.74727	-3.95224
376.367	7.30852	0.591622	48.0143	-3.006	-46.0843	6.80848	1.79524	1.33908	-3.21226	5.8518	-5.75428	-3.95957
386.366	7.50269	0.607339	48.0407	-3.06184	-45.9934	6.91818	1.83053	1.36555	-3.2681	5.94273	-5.84134	-4.03618
396.416	7.69785	0.623137	48.0169	-3.15135	-45.8331	7.09369	1.84004	1.34167	-3.35761	6.10301	-5.99521	-4.16084
406.415	7.89201	0.638855	48.0722	-3.1902	-45.7676	7.17896	1.89101	1.397	-3.39646	6.16846	-6.05782	-4.21486
416.413	8.08616	0.654571	48.1107	-3.12825	-45.7448	7.17721	1.90317	1.43553	-3.33451	6.19134	-6.08491	-4.13961
426.412	8.28033	0.670289	48.0644	-3.32476	-45.5082	7.46435	1.92672	1.38924	-3.53102	6.42794	-6.30707	-4.40607
436.412	8.47451	0.686008	48.1126	-3.27943	-45.5553	7.41152	1.94764	1.43746	-3.48568	6.38078	-6.26331	-4.34504
446.411	8.66868	0.701726	48.1691	-3.21774	-45.5196	7.42472	1.97351	1.4939	-3.424	6.41646	-6.30328	-4.271
456.41	8.86284	0.717444	48.1612	-3.4531	-45.2823	7.73767	2.03445	1.48598	-3.65936	6.65376	-6.52269	-4.58831
466.409	9.05701	0.733161	48.195	-3.37327	-45.2873	7.70258	2.0373	1.51983	-3.57953	6.64883	-6.52378	-4.48741
476.407	9.25116	0.748877	48.1907	-3.38184	-45.2131	7.76983	2.03818	1.5155	-3.58809	6.72303	-6.59714	-4.50517
486.457	9.44632	0.764675	48.2277	-3.43689	-45.1438	7.8625	2.08086	1.55255	-3.64315	6.79235	-6.66212	-4.5812
496.457	9.6405	0.780395	48.2271	-3.61187	-44.9799	8.08554	2.13092	1.55196	-3.81813	6.95624	-6.81187	-4.81853
506.455	9.83465	0.796111	48.3622	-3.25899	-45.2354	7.73003	2.13671	1.68704	-3.46525	6.70069	-6.58386	-4.3483
516.454	10.0288	0.811828	48.2855	-3.50926	-44.9565	8.06923	2.14626	1.61036	-3.71552	6.97955	-6.84321	-4.69094
526.504	10.224	0.827626	48.3316	-3.35895	-45.0521	7.92744	2.14154	1.65637	-3.56521	6.88404	-6.75941	-4.49146
536.502	10.4181	0.843342	48.3809	-3.47366	-44.9369	8.08947	2.20889	1.70572	-3.67992	6.99916	-6.86551	-4.64776
546.501	10.6123	0.85906	48.3631	-3.52938	-44.842	8.19336	2.21171	1.68793	-3.73564	7.09415	-6.95588	-4.72785
556.501	10.8065	0.874779	48.4155	-3.48169	-44.8562	8.17037	2.2394	1.74031	-3.68795	7.07993	-6.94542	-4.66589
566.5	11.0006	0.890497	48.3867	-3.65076	-44.6341	8.43358	2.26515	1.71152	-3.85702	7.30201	-7.15337	-4.90353
576.499	11.1948	0.906215	48.4235	-3.73103	-44.5369	8.56194	2.31526	1.74834	-3.93729	7.39918	-7.24358	-5.01625
586.549	11.39	0.922013	48.4399	-3.78345	-44.4782	8.64015	2.34234	1.76471	-3.98971	7.4579	-7.29768	-5.08959
596.547	11.5841	0.937729	48.394	-3.75792	-44.4105	8.67778	2.30428	1.71886	-3.96418	7.52561	-7.36731	-5.06427
606.546	11.7783	0.953447	48.5659	-3.55504	-44.6109	8.44868	2.37957	1.89074	-3.7613	7.32515	-7.18414	-4.7838
