# Date: Wed Nov 8 14:21:51 2023
# Object: BWS0001-BW1-G03
# Illuminant: D65
# Sample integration time [ms]: 50
# White standard integration time [ms]: 50
# Sample: 04
# Curr: 700 (Watts: 0.0194186, MLuxes: 5.65894)
# LED: 1
#Time	Watts	Lux	L	a	b	dE76	dE2000	dL	da	db	dC	dh
0	0	0	52.0701	-2.69279	-50.8183	0	0	0	0	0	0	0
1.849	0.035905	0.00290649	52.0172	-2.86994	-50.5443	0.330554	0.088609	-0.0529648	-0.177154	0.274002	-0.263882	-0.216623
11.899	0.231062	0.0187044	52.1	-3.13481	-50.0413	0.894474	0.1809	0.0298362	-0.442021	0.777053	-0.750253	-0.551397
21.897	0.425209	0.0344205	52.2757	-3.32994	-49.6899	1.31212	0.328991	0.205583	-0.637157	1.12846	-1.0883	-0.800738
31.896	0.619376	0.0501382	52.1852	-3.76037	-49.1018	2.02468	0.455738	0.115039	-1.06758	1.7165	-1.64401	-1.34616
41.895	0.813542	0.0658559	52.2136	-3.96019	-48.7311	2.4461	0.54554	0.143453	-1.2674	2.08723	-1.99787	-1.61282
51.894	1.00771	0.0815736	52.2533	-3.91613	-48.5921	2.54683	0.540474	0.183134	-1.22334	2.22626	-2.14	-1.57444
61.944	1.20287	0.0973715	52.3732	-4.01191	-48.3187	2.84259	0.629773	0.303088	-1.31913	2.49967	-2.40469	-1.71322
71.943	1.39703	0.113089	52.3828	-4.34511	-47.9381	3.33522	0.761882	0.312626	-1.65233	2.88024	-2.75502	-2.14596
81.942	1.5912	0.128807	52.4053	-4.47625	-47.7024	3.6058	0.824896	0.335138	-1.78346	3.11588	-2.97762	-2.32758
91.941	1.78537	0.144525	52.3651	-4.63301	-47.4277	3.91761	0.876826	0.294922	-1.94022	3.39061	-3.23615	-2.5461
101.94	1.97953	0.160242	52.4204	-4.65812	-47.278	4.06434	0.909221	0.35024	-1.96534	3.54029	-3.38266	-2.59379
111.94	2.17372	0.175962	52.5237	-4.69597	-47.1755	4.18197	0.96878	0.453591	-2.00318	3.64286	-3.481	-2.65146
121.939	2.36789	0.191679	52.5939	-4.69069	-47.038	4.30778	1.00511	0.523743	-1.9979	3.78035	-3.61834	-2.6616
131.937	2.56203	0.207395	52.5761	-4.78678	-46.8132	4.54777	1.03739	0.505961	-2.094	4.00517	-3.83236	-2.80519
141.936	2.7562	0.223113	52.6235	-5.12146	-46.4754	5.00661	1.18966	0.553352	-2.42867	4.34298	-4.13294	-3.25528
151.935	2.95037	0.238831	52.7393	-4.89019	-46.5898	4.81212	1.16424	0.669204	-2.1974	4.22849	-4.04384	-2.95879
161.935	3.14455	0.25455	52.6984	-5.10708	-46.2937	5.16681	1.22602	0.628295	-2.41429	4.52465	-4.31509	-3.26218
171.934	3.33872	0.270268	52.7838	-4.99839	-46.3229	5.10233	1.23439	0.713624	-2.3056	4.49541	-4.29782	-3.12539
181.933	3.53288	0.285986	52.7956	-5.14486	-46.078	5.38605	1.29809	0.725429	-2.45207	4.74032	-4.52528	-3.33782
191.933	3.72707	0.301705	52.7953	-5.31797	-45.8742	5.64465	1.36391	0.725132	-2.62519	4.94416	-4.70824	-3.57933
201.932	3.92124	0.317423	52.8532	-5.2988	-45.8117	5.69837	1.39092	0.783084	-2.60602	5.00668	-4.77255	-3.56462
211.931	4.1154	0.33314	52.7692	-5.61524	-45.4514	6.1509	1.47424	0.699058	-2.92246	5.36695	-5.09269	-4.00968
221.929	4.30955	0.348856	52.9074	-5.45903	-45.486	6.06518	1.48762	0.837292	-2.76624	5.33228	-5.07716	-3.81046
231.978	4.50469	0.364653	52.9598	-5.48405	-45.4095	6.15125	1.52824	0.88969	-2.79126	5.40881	-5.15015	-3.853
241.928	4.6979	0.380293	52.9216	-5.63926	-45.1832	6.41571	1.56951	0.851431	-2.94647	5.63513	-5.35587	-4.08104
251.977	4.89304	0.39609	53.0671	-5.53633	-45.2017	6.37391	1.61692	0.996984	-2.84355	5.61667	-5.35017	-3.94967
261.976	5.08721	0.411807	53.0387	-5.65607	-45.0314	6.57325	1.64643	0.968523	-2.96328	5.78693	-5.5044	-4.12584
271.925	5.2804	0.427446	52.9321	-5.98184	-44.6083	7.07991	1.72263	0.86192	-3.28906	6.21002	-5.88203	-4.60445
281.974	5.47554	0.443243	53.0585	-5.71444	-44.8371	6.77363	1.68677	0.988377	-3.02165	5.98121	-5.68982	-4.22994
291.923	5.66874	0.458882	53.1199	-5.85426	-44.6266	7.031	1.77712	1.04979	-3.16147	6.19176	-5.88071	-4.44039
301.973	5.86389	0.47468	53.1954	-5.81281	-44.5938	7.05302	1.8101	1.12529	-3.12003	6.22449	-5.91853	-4.39346
311.972	6.05806	0.490397	53.1748	-5.87614	-44.4657	7.19097	1.82485	1.10469	-3.18336	6.35264	-6.03734	-4.49484
