# Date: Wed Nov 8 16:12:40 2023
# Object: noProject-BWS0001
# Illuminant: D65
# Sample integration time [ms]: 50
# White standard integration time [ms]: 50
# Sample: 06
# Curr: 700 (Watts: 0.0194186, MLuxes: 5.65894)
# LED: 1
#Time	Watts	Lux	L	a	b	dE76	dE2000	dL	da	db	dC	dh
0	0	0	43.9127	1.34864	-50.3635	0	0	0	0	0	0	0
5.05	0.0980639	0.00793824	43.7315	0.962214	-49.8608	0.659463	0.219892	-0.181165	-0.386429	0.502736	-0.511506	-0.428353
15.048	0.292211	0.0236544	43.8336	1.08398	-49.6813	0.736084	0.134058	-0.0790693	-0.26466	0.682293	-0.688522	-0.283985
25.048	0.486397	0.0393736	43.854	0.736554	-49.2149	1.30292	0.214028	-0.058743	-0.612089	1.1487	-1.16124	-0.676479
35.047	0.680564	0.0550914	43.8626	0.477429	-48.8285	1.76577	0.298611	-0.0500909	-0.871214	1.53507	-1.55079	-0.973707
45.046	0.87473	0.0708091	43.826	0.249675	-48.4714	2.18986	0.383331	-0.0866993	-1.09897	1.89215	-1.90956	-1.23878
55.044	1.06888	0.0865252	43.8723	0.108724	-48.2669	2.43616	0.426784	-0.0404228	-1.23992	2.09663	-2.11456	-1.40485
65.044	1.26306	0.102244	43.9358	0.0514942	-48.1135	2.59726	0.445269	0.0230951	-1.29715	2.25003	-2.26806	-1.47259
75.044	1.45725	0.117964	44.0075	-0.00607073	-47.8933	2.81891	0.474452	0.0948003	-1.35471	2.47023	-2.48828	-1.54117
85.042	1.6514	0.13368	44.0333	-0.10962	-47.7373	3.0064	0.515224	0.120608	-1.45826	2.62629	-2.64421	-1.66548
95.092	1.84655	0.149478	44.0569	-0.139483	-47.5601	3.17718	0.534066	0.144204	-1.48813	2.80342	-2.82127	-1.70194
105.09	2.0407	0.165194	44.0255	-0.392409	-47.306	3.52034	0.614025	0.112824	-1.74105	3.05759	-3.07401	-2.00917
115.09	2.23489	0.180913	44.0206	-0.483964	-47.131	3.71742	0.646494	0.107869	-1.83261	3.23251	-3.24808	-2.12223
125.088	2.42903	0.196629	44.1289	-0.495668	-47.0223	3.82263	0.674814	0.216195	-1.84431	3.3413	-3.35674	-2.13785
