# Date: Thu Nov 9 15:14:09 2023
# Object: noProject-BWS0001-BW1
# Illuminant: D65
# Sample integration time [ms]: 50
# White standard integration time [ms]: 50
# Sample: 07
# Curr: 700 (Watts: 0.0194186, MLuxes: 5.65894)
# LED: 1
#Time	Watts	Lux	L	a	b	dE76	dE2000	dL	da	db	dC	dh
0	0	0	50.9415	-2.66028	-48.3243	0	0	0	0	0	0	0
8.851	0.171874	0.0139131	51.166	-3.11896	-47.6358	0.85724	0.294915	0.224585	-0.458672	0.688507	-0.659679	-0.595107
18.85	0.366041	0.0296308	51.223	-3.40404	-47.0666	1.48808	0.419462	0.281543	-0.743755	1.25775	-1.20799	-0.985665
28.849	0.560207	0.0453485	51.295	-3.76487	-46.5421	2.12639	0.58698	0.353541	-1.10459	1.78225	-1.70339	-1.4737
38.898	0.755345	0.0611448	51.3729	-3.98794	-46.1852	2.55435	0.712959	0.431444	-1.32765	2.13913	-2.04045	-1.78407
48.898	0.949531	0.0768641	51.4385	-3.88134	-46.0872	2.5967	0.721231	0.497021	-1.22106	2.23715	-2.14717	-1.66295
58.896	1.14368	0.0925803	51.5895	-3.96813	-45.8673	2.85785	0.858226	0.648028	-1.30785	2.45701	-2.35885	-1.79355
68.896	1.33786	0.1083	51.5488	-4.16384	-45.5048	3.2526	0.892243	0.607314	-1.50356	2.81955	-2.70261	-2.07721
78.895	1.53203	0.124017	51.6109	-4.36189	-45.2042	3.61645	1.00009	0.669397	-1.70161	3.12012	-2.98333	-2.36059
88.894	1.7262	0.139735	51.6422	-4.38078	-45.0837	3.73536	1.03039	0.700748	-1.7205	3.24064	-3.10147	-2.39902
98.893	1.92036	0.155453	51.7964	-4.20637	-45.0789	3.69511	1.10053	0.854947	-1.54608	3.24539	-3.12273	-2.17991
108.892	2.11453	0.17117	51.7351	-4.63298	-44.5874	4.29958	1.18265	0.793672	-1.9727	3.73697	-3.57008	-2.78121
118.891	2.3087	0.186888	51.7251	-4.77298	-44.3333	4.58323	1.22765	0.783683	-2.1127	3.99103	-3.80801	-2.99389
128.89	2.50286	0.202606	51.7967	-4.87629	-44.1162	4.83221	1.31319	0.855252	-2.216	4.2081	-4.0126	-3.15647
138.89	2.69705	0.218325	51.9761	-4.58744	-44.3318	4.55238	1.35465	1.03459	-1.92715	3.99248	-3.82893	-2.75692
148.888	2.8912	0.234041	51.9324	-4.64486	-44.1756	4.70448	1.34378	0.990893	-1.98458	4.1487	-3.97835	-2.85134
158.938	3.08635	0.249839	52.0191	-4.75847	-43.984	4.93982	1.44319	1.07764	-2.09819	4.34029	-4.15681	-3.02362
168.936	3.2805	0.265555	51.9927	-4.95483	-43.6992	5.26893	1.48684	1.05119	-2.29455	4.62511	-4.41828	-3.31786
178.935	3.47467	0.281273	52.0439	-4.73424	-43.7455	5.14615	1.47222	1.10248	-2.07396	4.57887	-4.39661	-3.02566
188.934	3.66883	0.296991	52.125	-4.8566	-43.5884	5.35289	1.56678	1.18351	-2.19632	4.73592	-4.53936	-3.20666
198.934	3.86302	0.31271	52.0418	-5.02522	-43.3486	5.61798	1.55983	1.10034	-2.36493	4.97575	-4.75862	-3.46156
208.934	4.05721	0.328429	52.0731	-5.09484	-43.2178	5.76928	1.60659	1.13161	-2.43456	5.10656	-4.88046	-3.57245
218.982	4.25232	0.344224	52.1961	-5.0874	-43.1576	5.84464	1.69611	1.25461	-2.42712	5.16671	-4.94107	-3.57199
228.981	4.44649	0.359942	52.1277	-5.2252	-42.9188	6.09961	1.69568	1.18622	-2.56491	5.4055	-5.16176	-3.79039
238.98	4.64066	0.375659	52.2113	-5.07428	-42.9585	6.01927	1.71912	1.26984	-2.414	5.36579	-5.14031	-3.5856
248.979	4.83482	0.391377	52.2266	-5.28377	-42.7539	6.29001	1.78975	1.28516	-2.62349	5.57044	-5.31835	-3.89424
258.979	5.02901	0.407096	52.2365	-5.37282	-42.5961	6.46898	1.8286	1.295	-2.71253	5.72825	-5.46391	-4.038
268.979	5.2232	0.422816	52.2819	-5.37175	-42.5205	6.54475	1.86563	1.34047	-2.71146	5.80387	-5.53906	-4.04923
278.977	5.41734	0.438532	52.3863	-5.18878	-42.6265	6.39888	1.89554	1.44483	-2.52849	5.69779	-5.45632	-3.78928
