# Date: Thu Nov 9 15:43:33 2023
# Object: noProject-BWS0001
# Illuminant: D65
# Sample integration time [ms]: 50
# White standard integration time [ms]: 50
# Sample: 09
# Curr: 700 (Watts: 0.0194186, MLuxes: 5.65894)
# LED: 1
#Time	Watts	Lux	L	a	b	dE76	dE2000	dL	da	db	dC	dh
0	0	0	46.6958	0.332886	-51.0424	0	0	0	0	0	0	0
7.999	0.155329	0.0125739	46.8883	-0.0441841	-50.4595	0.720394	0.230088	0.192485	-0.37707	0.582868	-0.583934	-0.423834
17.998	0.349496	0.0282916	46.9581	-0.574982	-49.8577	1.51546	0.429973	0.262268	-0.907868	1.18474	-1.18251	-1.0344
27.998	0.543682	0.0440108	47.1115	-0.521354	-49.7686	1.58904	0.510035	0.415717	-0.85424	1.27377	-1.27212	-0.973847
37.996	0.737829	0.059727	47.1073	-0.967191	-49.2159	2.27936	0.630366	0.41149	-1.30008	1.82647	-1.81805	-1.49949
47.995	0.931996	0.0754447	47.2102	-1.02564	-49.0906	2.43306	0.711929	0.514406	-1.35852	1.95181	-1.94219	-1.57056
57.994	1.12616	0.0911624	47.1439	-1.45487	-48.6227	3.04167	0.812887	0.448075	-1.78775	2.4197	-2.39902	-2.08753
67.994	1.32035	0.106882	47.2334	-1.43483	-48.5138	3.13173	0.847051	0.537586	-1.76772	2.52862	-2.50849	-2.06773
77.992	1.5145	0.122598	47.3508	-1.42328	-48.4169	3.22587	0.913313	0.654964	-1.75616	2.62548	-2.60565	-2.05746
87.992	1.70868	0.138317	47.365	-1.55358	-48.2569	3.43011	0.961553	0.669211	-1.88647	2.7855	-2.76159	-2.21761
97.993	1.90289	0.154038	47.3787	-1.67165	-48.0567	3.66043	1.00377	0.682866	-2.00453	2.98568	-2.9577	-2.36589
107.991	2.09703	0.169754	47.4782	-1.76302	-47.9191	3.84189	1.09673	0.782395	-2.09591	3.12332	-3.09198	-2.48072
118.039	2.29215	0.185549	47.3993	-2.00414	-47.5708	4.24364	1.11931	0.70351	-2.33702	3.47159	-3.43047	-2.78608
128.039	2.48634	0.201268	47.4349	-2.02181	-47.5013	4.31628	1.14452	0.739102	-2.3547	3.54109	-3.49917	-2.81089
138.038	2.68051	0.216986	47.4915	-2.12153	-47.3166	4.53198	1.20941	0.795684	-2.45441	3.7258	-3.67934	-2.9409
148.037	2.87467	0.232703	47.5426	-2.14641	-47.2853	4.5804	1.25005	0.846738	-2.4793	3.75715	-3.70954	-2.9727
158.036	3.06884	0.248421	47.58	-2.2914	-47.0592	4.85123	1.31849	0.884218	-2.62429	3.98318	-3.92851	-3.1613
168.034	3.26299	0.264137	47.67	-2.21349	-47.0727	4.81572	1.35158	0.97414	-2.54638	3.96966	-3.91873	-3.06588
178.034	3.45717	0.279857	47.6303	-2.36632	-46.8808	5.04759	1.37175	0.934488	-2.69921	4.16163	-4.10303	-3.26324
188.033	3.65134	0.295574	47.7303	-2.2834	-46.8833	5.02131	1.41149	1.03445	-2.61628	4.15915	-4.10466	-3.16199
198.033	3.84552	0.311294	47.696	-2.56184	-46.5646	5.425	1.47454	1.00018	-2.89472	4.47781	-4.40848	-3.52272
208.031	4.03967	0.32701	47.7208	-2.49637	-46.5253	5.42766	1.46681	1.02497	-2.82926	4.5171	-4.45126	-3.445
218.031	4.23386	0.342729	47.7815	-2.61897	-46.4266	5.58549	1.5474	1.08568	-2.95186	4.61579	-4.54306	-3.60235
228.029	4.428	0.358445	47.7233	-2.75225	-46.2118	5.8231	1.55046	1.02751	-3.08514	4.8306	-4.7498	-3.78202
238.029	4.62219	0.374164	47.7559	-2.71128	-46.1826	5.83165	1.55612	1.06009	-3.04417	4.85977	-4.78134	-3.73351
248.028	4.81636	0.389882	47.7898	-2.78108	-46.0766	5.96266	1.60037	1.09399	-3.11397	4.96585	-4.88308	-3.82772
