Optical Power Monitor
1.1.2315.102
Delimiter Used: Tab

Start of Measurement 	 1/17/2024 10:31:27
Sample Interval 	 5 s
	 PM100USB 1903338
Type	 PM100USB
Serialnumber	 1903190
Sensor	 S405C
SensorSerialnumber	 1903338
Wavelength / Responsivity	 635 nm

			PM100USB 1903338	 
Samples 	Date (MM/dd/yyyy) 	Time of day (hh:mm:ss) 	Power (W)	
0	 1/17/2024	 10:31:27	0.0053728
1	 1/17/2024	 10:31:32	0.0053892
2	 1/17/2024	 10:31:37	0.0054557
3	 1/17/2024	 10:31:42	0.0054618
4	 1/17/2024	 10:31:47	0.0054359
5	 1/17/2024	 10:31:52	0.0054338
6	 1/17/2024	 10:31:57	0.0054226
7	 1/17/2024	 10:32:02	0.0054344
8	 1/17/2024	 10:32:07	0.0054227
9	 1/17/2024	 10:32:12	0.0054295
10	 1/17/2024	 10:32:17	0.005437
11	 1/17/2024	 10:32:22	0.0054275
12	 1/17/2024	 10:32:27	0.0054023
13	 1/17/2024	 10:32:32	0.0054025
14	 1/17/2024	 10:32:37	0.0054294
15	 1/17/2024	 10:32:42	0.0054147
16	 1/17/2024	 10:32:47	0.0054122
17	 1/17/2024	 10:32:52	0.0053937
18	 1/17/2024	 10:32:57	0.0054196
19	 1/17/2024	 10:33:02	0.0054068
20	 1/17/2024	 10:33:07	0.0054083
21	 1/17/2024	 10:33:12	0.005412
22	 1/17/2024	 10:33:17	0.0053947
23	 1/17/2024	 10:33:22	0.0053869
24	 1/17/2024	 10:33:27	0.0053777
25	 1/17/2024	 10:33:32	0.0053878
26	 1/17/2024	 10:33:37	0.0053599
27	 1/17/2024	 10:33:42	0.0053796
28	 1/17/2024	 10:33:47	0.005395
29	 1/17/2024	 10:33:52	0.0053911
30	 1/17/2024	 10:33:57	0.0053756
31	 1/17/2024	 10:34:02	0.0053874
32	 1/17/2024	 10:34:07	0.0053868
33	 1/17/2024	 10:34:12	0.0053832
34	 1/17/2024	 10:34:17	0.0053697
35	 1/17/2024	 10:34:22	0.0053648
36	 1/17/2024	 10:34:27	0.0053713
37	 1/17/2024	 10:34:32	0.0053774
